source_target,yor,ibo,hau,swa,wol
yor,0.839391,0.535173,0.383719,0.370368,0.177011
ibo,0.455920,0.578261,0.382393,0.420292,0.164571
hau,0.443004,0.380031,0.803732,0.344648,0.143122
swa,0.334244,0.390867,0.306936,0.738880,0.114747
wol,0.225885,0.222967,0.202310,0.182945,0.730740
