model,source_language,target_language,is_self_transfer,best_accuracy_layer,best_accuracy,best_accuracy_pct,best_macro_f1_layer,best_macro_f1,best_macro_f1_pct,num_layers
afriberta_large,hau,hau,True,5,0.9138489441637517,91.38489441637518,5,0.8037323066490891,80.37323066490892,11
afriberta_large,hau,ibo,False,5,0.5967962137071084,59.67962137071085,5,0.38003133191536576,38.00313319153658,11
afriberta_large,hau,swa,False,5,0.48643772551947245,48.643772551947244,4,0.344648071088159,34.4648071088159,11
afriberta_large,hau,wol,False,4,0.2867909331492348,28.67909331492348,5,0.14312242247752108,14.312242247752108,11
afriberta_large,hau,yor,False,5,0.6099936603077633,60.99936603077632,5,0.4430043744714566,44.300437447145654,11
afriberta_large,ibo,hau,False,4,0.5905557714729888,59.05557714729888,4,0.3823928667248449,38.23928667248449,11
afriberta_large,ibo,ibo,True,6,0.8018567397833803,80.18567397833803,6,0.5782607552661988,57.82607552661988,11
afriberta_large,ibo,swa,False,4,0.6114221724524076,61.14221724524076,4,0.4202920741531408,42.029207415314076,11
afriberta_large,ibo,wol,False,3,0.3569209527096997,35.69209527096997,8,0.16457077283708854,16.457077283708855,11
afriberta_large,ibo,yor,False,8,0.6513745605440608,65.13745605440609,5,0.45592049856062317,45.59204985606232,11
afriberta_large,swa,hau,False,6,0.47907760072548256,47.90776007254826,6,0.30693624614608034,30.693624614608034,11
afriberta_large,swa,ibo,False,4,0.6128606534995904,61.28606534995904,5,0.3908667575750499,39.08667575750499,11
afriberta_large,swa,swa,True,4,0.9109742441209406,91.09742441209406,4,0.738879505880827,73.8879505880827,11
afriberta_large,swa,wol,False,3,0.2588309745713957,25.88309745713957,8,0.11474720880293342,11.474720880293342,11
afriberta_large,swa,yor,False,5,0.45328799492824623,45.32879949282462,5,0.33424420272337346,33.42442027233734,11
afriberta_large,wol,hau,False,1,0.3832102603964244,38.32102603964244,3,0.20230963153189996,20.230963153189997,11
afriberta_large,wol,ibo,False,1,0.4490306726130882,44.90306726130882,3,0.22296665723418274,22.296665723418275,11
afriberta_large,wol,swa,False,3,0.3388080129401518,33.88080129401518,9,0.18294493256158728,18.294493256158727,11
afriberta_large,wol,wol,True,5,0.8233805085720861,82.33805085720861,6,0.7307404881596525,73.07404881596526,11
afriberta_large,wol,yor,False,8,0.39461702495533396,39.461702495533395,6,0.22588517180714138,22.58851718071414,11
afriberta_large,yor,hau,False,4,0.6052597486721077,60.52597486721078,4,0.38371862106921933,38.37186210692193,11
afriberta_large,yor,ibo,False,4,0.7747337762810594,77.47337762810595,4,0.535172652796897,53.517265279689695,11
afriberta_large,yor,swa,False,4,0.5472813238770685,54.72813238770685,4,0.37036801387979795,37.03680138797979,11
afriberta_large,yor,wol,False,4,0.36687377747094696,36.68737774709469,3,0.17701115469567513,17.70111546956751,11
afriberta_large,yor,yor,True,6,0.9216759840931359,92.16759840931358,5,0.839390866635276,83.93908666352759,11
