source_language,self_best_accuracy,self_best_macro_f1,mean_cross_best_accuracy,mean_cross_best_macro_f1,best_cross_target_by_accuracy,best_cross_accuracy
hau,0.9138489441637517,0.8037323066490891,0.4950046331708947,0.3277015499881256,yor,0.6099936603077633
ibo,0.8018567397833803,0.5782607552661988,0.5525683642947892,0.35579405306892437,yor,0.6513745605440608
swa,0.9109742441209406,0.738879505880827,0.45101430593117875,0.2866986038118593,ibo,0.6128606534995904
wol,0.8233805085720861,0.7307404881596525,0.39141649272624957,0.20852659828370285,ibo,0.4490306726130882
yor,0.9216759840931359,0.839390866635276,0.5735371565752957,0.36656761061039733,ibo,0.7747337762810594
