target_language,mean_incoming_cross_best_accuracy,mean_incoming_cross_best_macro_f1,best_source_by_accuracy,best_incoming_accuracy
hau,0.5145258453167508,0.3188393413680111,yor,0.6052597486721077
ibo,0.6083553290252116,0.38225934988037386,yor,0.7747337762810594
swa,0.4959873086972751,0.3295632729206712,ibo,0.6114221724524076
wol,0.3173541594753193,0.14986288970330455,yor,0.36687377747094696
yor,0.5273183101838511,0.3647635618906486,ibo,0.6513745605440608
