target_language,mean_incoming_cross_best_accuracy,mean_incoming_cross_best_macro_f1,best_source_by_accuracy,best_incoming_accuracy
hau,0.5237077341624563,0.30966266307206464,ibo,0.5850498769270631
ibo,0.5780922908892328,0.3539476092067944,yor,0.7446527714571767
swa,0.4923945502053005,0.3130352424944114,ibo,0.5873460246360582
wol,0.38467955356115524,0.20226297087716127,yor,0.41899666321481993
yor,0.4941646014638925,0.32444792111822107,ibo,0.6245749524523082
