source_target,yor,ibo,hau,swa,wol
yor,0.799259,0.467861,0.328389,0.297367,0.238194
ibo,0.420020,0.562710,0.372880,0.390861,0.210117
hau,0.375859,0.392120,0.788442,0.337159,0.177297
swa,0.269795,0.355624,0.287916,0.723319,0.183444
wol,0.232117,0.200186,0.249466,0.226754,0.716309
