source_target,yor,ibo,hau,swa,wol
yor,0.882600,0.744653,0.564516,0.475862,0.418997
ibo,0.624575,0.786611,0.585050,0.587346,0.397595
hau,0.524408,0.623055,0.901477,0.492597,0.363652
swa,0.381995,0.525030,0.470139,0.897910,0.358474
wol,0.445680,0.419632,0.475126,0.413774,0.801979
