source_language,self_best_accuracy,self_best_macro_f1,mean_cross_best_accuracy,mean_cross_best_macro_f1,best_cross_target_by_accuracy,best_cross_accuracy
hau,0.9014768752429071,0.788441872287373,0.5009277820036115,0.32060875830978697,ibo,0.6230545189769728
ibo,0.7866114498953308,0.562710181007721,0.5486415168636549,0.34846941473273096,yor,0.6245749524523082
swa,0.8979096677864875,0.7233193202669125,0.43390943929868003,0.2741947090299396,ibo,0.5250295804132156
wol,0.8019790587964561,0.7163094924480427,0.4385531912111793,0.22713079786719098,hau,0.4751263116984065
yor,0.8826004264883869,0.7992594624715453,0.5510068009049115,0.33295272682900423,ibo,0.7446527714571767
